sampleid,sex,genome,aligner
SRR614011_default_HI,female,default,HI
SRR614011_default_STAR,female,default,STAR
SRR614011_SS_HI,female,SS,HI
SRR614011_SS_STAR,female,SS,STAR
SRR809283_default_HI,female,default,HI
SRR809283_default_STAR,female,default,STAR
SRR809283_SS_HI,female,SS,HI
SRR809283_SS_STAR,female,SS,STAR
SRR1074646_default_HI,male,default,HI
SRR1074646_default_STAR,male,default,STAR
SRR1074646_SS_HI,male,SS,HI
SRR1074646_SS_STAR,male,SS,STAR
SRR1090907_default_HI,male,default,HI
SRR1090907_default_STAR,male,default,STAR
SRR1090907_SS_HI,male,SS,HI
SRR1090907_SS_STAR,male,SS,STAR
SRR1345266_default_HI,male,default,HI
SRR1345266_default_STAR,male,default,STAR
SRR1345266_SS_HI,male,SS,HI
SRR1345266_SS_STAR,male,SS,STAR
SRR1351166_default_HI,female,default,HI
SRR1351166_default_STAR,female,default,STAR
SRR1351166_SS_HI,female,SS,HI
SRR1351166_SS_STAR,female,SS,STAR
