gene	Chr	Length
DDX11L1	1	2541
WASH7P	1	15167
MIR6859-1	1	68
MIR1302-2HG	1	1556
MIR1302-2	1	138
FAM138A	1	1528
AL627309.6	1	840
OR4G11P	1	940
OR4F5	1	918
AL627309.1	1	44429
AL627309.3	1	1555
CICP27	1	3812
AL627309.7	1	755
AL627309.8	1	284
AL627309.2	1	550
AL627309.5	1	32389
RNU6-1100P	1	104
AL627309.4	1	1080
FO538757.2	1	1479
FO538757.1	1	10195
MIR6859-2	1	68
AP006222.1	1	39639
RPL23AP21	1	457
RPL23AP24	1	385
AL732372.2	1	2299
AL732372.1	1	7196
AL732372.3	1	136229
WBP1LP7	1	363
OR4F29	1	939
SEPT14P13	1	183
CICP7	1	2806
AL732372.4	1	2017
U6	1;1;1;1;1;2;2;3;3;4;4;4;4;4;X;9;11;11;10;12;12;13;14;15;15;15;16;17;20;20;22;22;21;KI270727.1;KI270727.1;KI270744.1;GL000213.1	3379
AL669831.3	1	241808
AC114498.1	1	7140
MTND1P23	1	372
MTND2P28	1	1044
MTCO1P12	1	1543
MIR6723	1	89
MTCO2P12	1	682
MTATP8P1	1	207
MTATP6P1	1	681
MTCO3P12	1	547
WBP1LP6	1	424
OR4F16	1	939
AL669831.7	1	183
CICP3	1	2812
AL669831.1	1	52742
RNU6-1199P	1	104
AL669831.2	1	1079
AL669831.5	1	31291
AL669831.4	1	16834
FAM87B	1	2467
LINC01128	1	34309
LINC00115	1	1317
FAM41C	1	8833
TUBB8P11	1	1058
AL669831.6	1	2706
AL645608.7	1	11143
AL645608.3	1	3514
AL645608.5	1	801
AL645608.1	1	4152
SAMD11	1	20654
NOC2L	1	15106
KLHL17	1	5129
PLEKHN1	1	9369
PERM1	1	6890
AL645608.8	1	2086
HES4	1	1211
ISG15	1	13404
AL645608.4	1	154
AL645608.2	1	1197
AGRN	1	35996
AL645608.6	1	1084
AL390719.1	1	9622
AL645608.9	1	1081
RNF223	1	3342
C1orf159	1	34544
LINC01342	1	7040
MIR200B	1	95
MIR200A	1	90
MIR429	1	83
AL390719.2	1	987
TTLL10-AS1	1	6500
TTLL10	1	24052
TNFRSF18	1	3184
TNFRSF4	1	2813
SDF4	1	15124
B3GALT6	1	2777
C1QTNF12	1	4277
AL162741.1	1	1558
UBE2J2	1	19977
LINC01786	1	5198
SCNN1D	1	11594
ACAP3	1	17234
MIR6726	1	61
PUSL1	1	3111
INTS11	1	13107
MIR6727	1	65
AL139287.1	1	1109
CPTP	1	4142
TAS1R3	1	3993
DVL1	1	14075
MIR6808	1	59
MXRA8	1	9089
AURKAIP1	1	1766
NDUFB4P8	1	367
CCNL2	1	13618
AL391244.1	1	2525
MRPL20	1	5406
RN7SL657P	1	293
AL391244.3	1	1523
ANKRD65	1	3350
AL391244.2	1	2447
TMEM88B	1	1660
LINC01770	1	4035
VWA1	1	8022
ATAD3C	1	20470
ATAD3B	1	26080
ATAD3A	1	22537
TMEM240	1	5280
SSU72	1	33197
AL645728.1	1	2101
AL691432.3	1	400
FNDC10	1	2085
AL691432.2	1	2038
MIB2	1	15196
MMP23B	1	3169
CDK11B	1	23786
FO704657.1	1	3278
SLC35E2B	1	33200
AL691432.1	1	2408
MMP23A	1	1841
CDK11A	1	21595
AL031282.2	1	34953
AL031282.1	1	12740
SLC35E2	1	21155
NADK	1	29226
GNB1	1	105833
AL109917.1	1	1188
CALML6	1	2470
TMEM52	1	1684
CFAP74	1	81887
AL391845.2	1	2318
GABRD	1	11461
AL391845.1	1	868
PRKCZ	1	134926
AL590822.2	1	4196
PRKCZ-AS1	1	2596
FAAP20	1	28260
AL590822.1	1	8216
SKI	1	81425
MORN1	1	70455
AL589739.1	1	493
AL513477.1	1	2407
AL513477.2	1	568
RER1	1	13670
PEX10	1	9834
PLCH2	1	79551
AL139246.1	1	959
AL139246.4	1	1043
PANK4	1	18096
HES5	1	1501
AL139246.6	1	996
AL139246.5	1	7112
TNFRSF14	1	9744
AL139246.2	1	3479
AL139246.3	1	2974
FAM213B	1	4979
MMEL1	1	42352
AL831784.1	1	4053
TTC34	1	165742
AC242022.1	1	2871
AL592464.2	1	843
AL592464.1	1	567
ACTRT2	1	1421
LINC00982	1	8823
PRDM16	1	369454
MIR4251	1	61
AL008733.1	1	783
AL512383.1	1	2677
AL590438.1	1	3461
ARHGEF16	1	26688
AL512413.1	1	382
MEGF6	1	121576
MIR551A	1	96
AL513320.1	1	1554
TPRG1L	1	5126
WRAP73	1	21995
TP73	1	83682
AL136528.1	1	9835
AL136528.2	1	2099
TP73-AS1	1;1	11897
CCDC27	1	25186
SMIM1	1	3195
LRRC47	1	17947
RN7SL574P	1	297
AL365330.1	1	531
CEP104	1	45134
DFFB	1	28163
C1orf174	1	11169
LINC01134	1	16854
LINC01346	1	14698
LINC01345	1	4434
EEF1DP6	1	372
LINC01777	1	12663
Z98747.1	1	411
LINC01646	1	22529
AJAP1	1	137803
AL691497.1	1	4441
Z98259.1	1	1697
Z97988.1	1	135
AL365255.1	1	106587
MIR4417	1	73
MIR4689	1	70
NPHP4	1	129663
KCNAB2	1	109728
CHD5	1	78331
RPL22	1	28121
AL031847.1	1	941
RNF207	1	15825
ICMT	1	14780
LINC00337	1	3205
HES3	1	1387
GPR153	1	13630
ACOT7	1	130123
AL031848.2	1	837
HES2	1	12253
ESPN	1	36583
MIR4252	1	63
AL031848.1	1	3973
TNFRSF25	1	5045
PLEKHG5	1	53970
NOL9	1	33189
RNU6-731P	1	111
AL591866.1	1	715
TAS1R1	1	24577
ZBTB48	1	9280
KLHL21	1	23884
PHF13	1	10349
THAP3	1	10721
DNAJC11	1	67757
LINC01672	1	5376
AL590128.2	1	952
CAMTA1	1	984383
AL590128.1	1	286
AL512330.1	1	5904
RNU1-8P	1	165
CAMTA1-IT1	1	1329
Z97987.1	1	7268
AL365194.1	1	459
AL359881.3	1	1721
AL359881.2	1	570
AL359881.1	1	267
VAMP3	1	10164
Z98884.2	1	393
PER3	1	60858
Z98884.1	1	17101
UTS2	1	10430
TNFRSF9	1	27272
AL009183.1	1	355
PARK7	1	31215
